otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title
otu376428	Sterculia tragacantha	770769	66668	-	None	True	original	Sterculia_tragacantha	-
otu376440	Sterculia stipulata	638563	300530	-	None	True	original	Sterculia_stipulata	-
otu376436	Sterculia coccinea	638561	300531	-	None	True	original	Sterculia_coccina	-
otu376444	Sterculia parviflora	638557	300533	-	None	True	original	Sterculia_parviflora	-
otu376450	Sterculia balanghas	638559	300532	-	None	True	original	Sterculia_balanghas	-
otu376432	Hildegardia barteri	336228	82431	-	None	True	original	Hildegardia_barteri	-
otu376449	Firmiana malayana	638539	300539	-	None	True	original	Firmiana_malayana	-
otu376425	Firmiana platanifolia	283034	190243	-	None	True	original	Firmiana_simplex	-
otu376448	Hildegardia populifolia	269830	300540	-	None	True	original	Hildegardia_populifolia	-
otu376433	Pterocymbium tinctorium	269825	300542	-	None	True	original	Pterocymbium_tinctorium	-
otu376451	Scaphium macropodum	269827	300543	-	None	True	original	Scaphium_macropodum_B	-
otu376434	Scaphium linearicarpum	269821	300544	-	None	True	original	Scaphium_linearicarpum	-
otu376426	Scaphium macropodum	269827	300543	-	None	True	original	Scaphium_macropodum_A	-
otu376437	Cola acuminata	1053097	93760	-	None	True	original	Cola_acuminata	-
otu376438	Pterygota alata	793342	300553	-	None	True	original	Pterygota_alata	-
otu376447	Octolobus spectabilis	536207	300538	-	None	True	original	Octolobus_spectabilis	-
otu376442	Acropogon bullatus	269819	300547	-	None	True	original	Acropogon_bullatus	-
otu376429	Acropogon dzumacensis	269817	300546	-	None	True	original	Acropogon_dzumacensis	-
otu376443	Franciscodendron laurifolium	793340	300551	-	None	True	original	Franciscodendron_laurifolium	-
otu376431	Argyrodendron peralatum	269815	300549	-	None	True	original	Argyrodendron_peralatum	-
otu376453	Brachychiton acerifolius	5551	93745	-	None	True	original	Brachychiton_acerifolius_B	-
otu376441	Brachychiton acerifolius	5551	93745	-	None	True	original	Brachychiton_acerifolius_A	-
otu376445	Heritiera elata	536243	300536	-	None	True	original	Heritiera_elata	-
otu376454	Heritiera littoralis	108610	93780	-	None	True	original	Heritiera_littoralis	-
otu376427	Heritiera simplicifolia	638569	300534	-	None	True	original	Heritiera_simplicifolia	-
otu376435	Heritiera aurea	638567	300535	-	None	True	original	Heritiera_aurea_A	-
otu376446	Heritiera aurea	638567	300535	-	None	True	original	Heritiera_aurea_B	-
otu376430	Ochroma pyramidale	861917	66662	-	None	False	original	Ochroma_pyramidale	-
otu376420	Bombax buonopozense	312752	66654	-	None	False	original	Bombax_buonopozense	-
otu376439	Pachira aquatica	84784	69118	-	None	False	original	Pachira_aquatica	-
otu376452	Spirotheca rosea	578275	93754	-	None	False	original	Ceiba_rosea	-
