tip_uniquenames,tip_speciesname
1001_S_coronatus,Senecio_coronatus
1004_S_sabinjoensis,Senecio_sabinjoensis
1005_S_urundensis,Senecio_urundensis
1020_S_reclinatus,Senecio_reclinatus
1021_S_rautanenii,Senecio_rautanenii
1022_S_oederiafolius,Senecio_oederiafolius
1025_S_hieracioides,Senecio_hieracioides
1026_S_consanguineus,Senecio_consanguineus
1030_S_rosmarinifolius,Senecio_rosmarinifolius
1101_lydenburgensis,Senecio_lydenburgensis
1105_anomalochorus,Senecio_anomalochorus
1110_chrysocoma,Senecio_chrysocoma
1111_rhyncholaenus,Senecio_rhyncholaenus
1112_sandersonii,Senecio_sandersonii
1113_hirsutiloides,Senecio_hirsutiloides
1114_macrospermus,Senecio_macrospermus
1117_albanensis,Senecio_albanensis
1118_discodregeanus,Senecio_discodregeanus
1119_glanduloso_lanosus,Senecio_lanosus
1120_glanduloso_pilosus,Senecio_pilosus
1123_telmateius,Senecio_telmateius
1124_affinis,Senecio_affinis
1125_arniciflorus,Senecio_arniciflorus
1126_austromontanus,Senecio_austromontanus
1127_byrnensis,Senecio_byrnensis
1128_brevidentatus,Senecio_brevidentatus
1129_citriceps,Senecio_citriceps
1130_cristimontanus,Senecio_cristimontanus
1132_macowanii,Senecio_macowanii
1133_mauricei,Senecio_mauricei
1134_mooreanus,Senecio_mooreanus
1135_natalicola,Senecio_natalicola
1137_paludaffinis,Senecio_paludaffinis
1138_praeteritus,Senecio_praeteritus
1139_reptans,Senecio_reptans
1141_saniensis,Senecio_saniensis
1143_polyodon,Senecio_polyodon
16_4_fresenii,Senecio_fresenii
17_3_cyaneus,Senecio_cyaneus
19_3_hochstetteri,Senecio_hochstetteri
2001_Crassocephalum_vitellinium,Crassocephaulum_vitellinium
2027_pseudoorientalis,Senecio_pseudoorientalis
2028_paulsenii,Senecio_paulsenii
2029_doronicum,Senecio_doronicum
2030_doriiformis,Senecio_doriiformis
2031_franchetii,Senecio_franchetii
2033_pyrenaicus,Senecio_pyrenaicus
22_2_meyeri_johannis,Senecio_meyeri_johannis
23_2_myriocephalus,Senecio_myriocephalus
28_4_schimperi,Senecio_schimperi
30_1_snowdenii,Senecio_snowdenii
31_2_telekii,Senecio_telekii
33_1_unionis,Senecio_unionis
34_1_aegyptius,Senecio_aegyptius
4_5_keniophytum,Senecio_keniophytum
42_1_caloneotes,Senecio_caloneotes
43_1_cathcartensis,Senecio_cathcartensis
46_harveianus,Senecio_harveianus
47_1_hypochoerideus,Senecio_hypochoerideus
5_3_aequinoctialis,Senecio_aequinoctialis
50_1_qathlambanus,Senecio_qathlambanus
51_1_seminiveus_ets,Senecio_seminiveus
51_1_seminiveus_its,Senecio_seminiveus
62_1_ragazzi,Senecio_ragazzi
Aetheolaena_campanulata,Aetheolaena_campanulata
Robinsonia_gayana,Robinsonia_gayana
S_aethnensis,Senecio_aethnensis
S_angustifolius,Senecio_angustifolius
S_arenarius,Senecio_arenarius
S_asirensis,Senecio_asirensis
S_asperulus,Senecio_asperulus
S_bollei,Senecio_bollei
S_brasiliensis,Senecio_brasiliensis
S_burchellii_ets,Senecio_burchelii
S_burchellii_its,Senecio_burchelii
