otu_id	^ot:ottTaxonName	^ot:ottId	^ncbi:taxon	^ncbi:accession	^physcraper:last_blasted	^physcraper:ingroup	^physcraper:status	^ot:originalLabel	^ncbi:title	^physcraper:in_current_aln
otu376428	Sterculia tragacantha	770769	66668	-	2020/07/22	True	original	Sterculia_tragacantha	-	True
otu376440	Sterculia stipulata	638563	300530	-	2020/07/22	True	original	Sterculia_stipulata	-	True
otu376436	Sterculia coccinea	638561	300531	-	2020/07/22	True	original	Sterculia_coccina	-	True
otu376444	Sterculia parviflora	638557	300533	-	2020/07/22	True	original	Sterculia_parviflora	-	True
otu376450	Sterculia balanghas	638559	300532	-	2020/07/22	True	original	Sterculia_balanghas	-	True
otu376432	Hildegardia barteri	336228	82431	-	2020/07/22	True	original	Hildegardia_barteri	-	True
otu376449	Firmiana malayana	638539	300539	-	2020/07/22	True	original	Firmiana_malayana	-	True
otu376425	Firmiana platanifolia	283034	190243	-	2020/07/22	True	original	Firmiana_simplex	-	True
otu376448	Hildegardia populifolia	269830	300540	-	2020/07/22	True	original	Hildegardia_populifolia	-	True
otu376433	Pterocymbium tinctorium	269825	300542	-	2020/07/22	True	original	Pterocymbium_tinctorium	-	True
otu376451	Scaphium macropodum	269827	300543	-	2020/07/22	True	original	Scaphium_macropodum_B	-	True
otu376434	Scaphium linearicarpum	269821	300544	-	2020/07/22	True	original	Scaphium_linearicarpum	-	True
otu376426	Scaphium macropodum	269827	300543	-	2020/07/22	True	original	Scaphium_macropodum_A	-	True
otu376437	Cola acuminata	1053097	93760	-	2020/07/22	True	original	Cola_acuminata	-	True
otu376438	Pterygota alata	793342	300553	-	2020/07/22	True	original	Pterygota_alata	-	True
otu376447	Octolobus spectabilis	536207	300538	-	2020/07/22	True	original	Octolobus_spectabilis	-	True
otu376442	Acropogon bullatus	269819	300547	-	2020/07/22	True	original	Acropogon_bullatus	-	True
otu376429	Acropogon dzumacensis	269817	300546	-	2020/07/22	True	original	Acropogon_dzumacensis	-	True
otu376443	Franciscodendron laurifolium	793340	300551	-	2020/07/22	True	original	Franciscodendron_laurifolium	-	True
otu376431	Argyrodendron peralatum	269815	300549	-	2020/07/22	True	original	Argyrodendron_peralatum	-	True
otu376453	Brachychiton acerifolius	5551	93745	-	2020/07/22	True	original	Brachychiton_acerifolius_B	-	True
otu376441	Brachychiton acerifolius	5551	93745	-	2020/07/22	True	original	Brachychiton_acerifolius_A	-	True
otu376445	Heritiera elata	536243	300536	-	2020/07/22	True	original	Heritiera_elata	-	True
otu376454	Heritiera littoralis	108610	93780	-	2020/07/22	True	original	Heritiera_littoralis	-	True
otu376427	Heritiera simplicifolia	638569	300534	-	2020/07/22	True	original	Heritiera_simplicifolia	-	True
otu376435	Heritiera aurea	638567	300535	-	2020/07/22	True	original	Heritiera_aurea_A	-	True
otu376446	Heritiera aurea	638567	300535	-	2020/07/22	True	original	Heritiera_aurea_B	-	True
otu376430	Ochroma pyramidale	861917	66662	-	None	False	original	Ochroma_pyramidale	-	True
otu376420	Bombax buonopozense	312752	66654	-	None	False	original	Bombax_buonopozense	-	True
otu376439	Pachira aquatica	84784	69118	-	None	False	original	Pachira_aquatica	-	True
otu376452	Spirotheca rosea	578275	93754	-	None	False	original	Ceiba_rosea	-	True
otuPS1	Pterygota alata	793342	300553	AY795599.1	None	True	identical and/or subsequence of otu376438, not added	-	Pterygota alata NADH dehydrogenase (ndhF) gene, partial cds; chloroplast	False
otuPS2	Octolobus spectabilis	536207	300538	AY795586.1	None	True	identical and/or subsequence of otu376447, not added	-	Octolobus spectabilis NADH dehydrogenase (ndhF) gene, partial cds; chloroplast	False
otuPS3	Scaphium macropodum	269827	300543	AY795593.1	None	True	identical and/or subsequence of otu376426, not added	-	Scaphium macropodum voucher P. Wilkie PW16 E NADH dehydrogenase (ndhF) gene, partial cds; chloroplast	False
otuPS4	Scaphium linearicarpum	269821	300544	AY795592.1	None	True	identical and/or subsequence of otu376434, not added	-	Scaphium linearicarpum NADH dehydrogenase (ndhF) gene, partial cds; chloroplast	False
otuPS5	Acropogon dzumacensis	269817	300546	AY795595.1	None	True	identical and/or subsequence of otu376429, not added	-	Acropogon dzumacensis NADH dehydrogenase (ndhF) gene, partial cds; chloroplast	False
otuPS6	Cola acuminata	1053097	93760	AF111759.1	None	True	identical and/or subsequence of otu376437, not added	-	Cola acuminata NADH dehydrogenase (ndhF) gene, partial cds; chloroplast gene for chloroplast product	False
otuPS7	Franciscodendron laurifolium	793340	300551	AY795598.1	None	True	identical and/or subsequence of otu376443, not added	-	Franciscodendron laurifolium NADH dehydrogenase (ndhF) gene, partial cds; chloroplast	False
otuPS8	Brachychiton acerifolius	5551	93745	AF111748.1	None	True	identical and/or subsequence of otu376453, not added	-	Brachychiton acerifolius NADH dehydrogenase (ndhF) gene, partial cds; chloroplast gene for chloroplast product	False
otuPS9	Acropogon bullatus	269819	300547	AY795596.1	None	True	identical and/or subsequence of otu376442, not added	-	Acropogon bullatus NADH dehydrogenase (ndhF) gene, partial cds; chloroplast	False
otuPS10	Argyrodendron peralatum	269815	300549	AY795597.1	None	True	identical and/or subsequence of otu376431, not added	-	Argyrodendron peralatum NADH dehydrogenase (ndhF) gene, partial cds; chloroplast	False
otuPS11	Septotheca tessmannii	595902	289063	AY589082.1	None	True	new	-	Septotheca tessmannii NADH dehydrogenase (ndhF) gene, partial cds; chloroplast	True
otuPS12	Brachychiton acerifolius	5551	93745	AY795594.1	None	True	identical and/or subsequence of otu376441, not added	-	Brachychiton acerifolius NADH dehydrogenase (ndhF) gene, partial cds; chloroplast	False
otuPS13	Fremontodendron californicum	827914	93767	AF111721.1	None	True	new	-	Fremontodendron californicum NADH dehydrogenase (ndhF) gene, partial cds; chloroplast gene for chloroplast product	True
otuPS14	Firmiana simplex	283034	190243	AY795589.1	None	True	identical and/or subsequence of otu376425, not added	-	Firmiana platanifolia NADH dehydrogenase (ndhF) gene, partial cds; chloroplast	False
